iter	TotalF1	MultiClass
0	0.6768966064	1.070705228
1	0.687892244	1.045045925
2	0.6981269755	1.022926586
3	0.7034992023	0.9989646472
4	0.7045682972	0.9806206774
5	0.7031365796	0.9622330962
6	0.7025763976	0.944768641
7	0.7127158098	0.9275915775
8	0.7078695823	0.9128403804
9	0.7044387871	0.8991180448
10	0.7091968865	0.8862297022
11	0.7053603045	0.8746662049
12	0.7085190215	0.8640758187
13	0.711502943	0.8544321165
14	0.7146987649	0.84392732
15	0.7182123538	0.8333585599
16	0.7177017705	0.8238767618
17	0.7188284916	0.8157975927
18	0.718604629	0.8072799448
19	0.7213237864	0.8005359266
20	0.7170831943	0.7946552549
21	0.720938697	0.7869621845
22	0.7224991723	0.7806962195
23	0.7210480105	0.7750765623
24	0.7211905674	0.7693735615
25	0.7228619456	0.7639269817
26	0.7233172542	0.7573159703
27	0.7256785867	0.7519595289
28	0.7270432465	0.7476532919
29	0.7260838479	0.7426719605
30	0.729990468	0.7365904546
31	0.730989897	0.7321052433
32	0.7321665789	0.7263596682
33	0.7337829473	0.7216073397
34	0.7332901828	0.7168610706
35	0.734874765	0.7130980349
36	0.7352525251	0.7093916259
37	0.7380340695	0.7055464505
38	0.7380879679	0.701894664
39	0.7391776263	0.6976303314
40	0.7382202161	0.6943547211
41	0.7397209331	0.6906936856
42	0.7406978513	0.6865302963
43	0.741929112	0.6829926815
44	0.7437708974	0.6799513996
45	0.7443417649	0.6764928954
46	0.7460941063	0.6729021215
47	0.7480390927	0.6697740822
48	0.7466337231	0.6665970405
49	0.7473564716	0.6634176209
50	0.748405695	0.6604612919
51	0.7507175712	0.6584278124
52	0.7518266814	0.6560681054
53	0.751311525	0.6539934315
54	0.752500146	0.6512499879
55	0.7544833307	0.649034403
56	0.7540500683	0.6476772248
57	0.7563835721	0.6467529531
58	0.7555477578	0.645240422
59	0.7572189706	0.6426814087
60	0.7573357266	0.6407005007
61	0.7580777557	0.6387286257
62	0.7606713464	0.6360797468
63	0.7613562673	0.6340287899
64	0.7595220477	0.6317996661
65	0.7627026746	0.6297569943
66	0.7642950733	0.627803575
67	0.7642464879	0.6259726939
68	0.7662470353	0.6242278549
69	0.766800582	0.6228973843
70	0.7675081065	0.621432369
71	0.7673052771	0.6191674037
72	0.7688176444	0.6169526045
73	0.7677143335	0.6150227554
74	0.7674969428	0.612815506
75	0.768711494	0.6113924155
76	0.7717002888	0.6097476141
77	0.7715321043	0.6085496849
78	0.7739568991	0.6060300571
79	0.774161234	0.6041400459
80	0.7744475467	0.6022876281
81	0.7745273306	0.6014641517
82	0.7759698738	0.6003578967
83	0.7749366692	0.599000684
84	0.7752044603	0.5983639974
85	0.7755894515	0.5965233309
86	0.7774323414	0.5946275845
87	0.7771302693	0.5928286146
88	0.7779489758	0.5918922819
89	0.7783453566	0.5905781156
90	0.7794507437	0.5884816125
91	0.7800901187	0.5866333048
92	0.7807668745	0.584159702
93	0.7806470204	0.5827737634
94	0.7820196201	0.5809455209
95	0.784390318	0.5795565522
96	0.7855525802	0.577844178
97	0.7851328795	0.5763340031
98	0.7851209137	0.5759860566
99	0.7849584767	0.5742765387
100	0.7866895814	0.5725480229
101	0.7868152498	0.571618918
102	0.7865655497	0.5703004175
103	0.7873168407	0.5682988952
104	0.787017796	0.5675524755
105	0.7879679612	0.5660980021
106	0.7889710095	0.5641547891
107	0.7910956831	0.5629984223
108	0.7911638508	0.5620293198
109	0.7932269759	0.5603345321
110	0.7944129019	0.5586636482
111	0.7946962419	0.5577302683
112	0.7948801922	0.5568517128
113	0.7979603216	0.5548511411
114	0.7979727346	0.5538008639
115	0.7986263766	0.5518050208
116	0.7976354921	0.5507932823
117	0.7989875633	0.5492525221
118	0.7996593391	0.5480065905
119	0.7998065754	0.5470185909
120	0.8004272636	0.5462514968
121	0.8004390827	0.5454556281
122	0.801225885	0.5441233602
123	0.8030453868	0.5423977651
124	0.8035830097	0.5411795908
125	0.8035165923	0.5399958168
126	0.8051956017	0.5385235805
127	0.8063182538	0.5370389847
128	0.8077357913	0.5353692829
129	0.8070174409	0.5343096205
130	0.8092490398	0.5330077754
131	0.8110098004	0.5320595933
132	0.8122068301	0.530669396
133	0.8132183447	0.5299005915
134	0.814746813	0.5289622483
135	0.8147229395	0.5277485865
136	0.8157014651	0.5263137186
137	0.8162238191	0.5251720271
138	0.8163907151	0.5237321541
139	0.8165806187	0.5230706092
140	0.8173239154	0.5219080235
141	0.8176172337	0.5215985404
142	0.8171856488	0.5207377952
143	0.8191125382	0.5195667016
144	0.8189669803	0.5188661919
145	0.820376323	0.5171961749
146	0.8215599275	0.5158881101
147	0.8222844023	0.5147428336
148	0.8231568946	0.513558918
149	0.8236960844	0.5116269598
150	0.8239520176	0.5105876162
151	0.8239520176	0.5098116168
152	0.8247290083	0.508907711
153	0.8266585791	0.5075493969
154	0.8276694891	0.5062374508
155	0.82946465	0.5050200278
156	0.8302118144	0.5043445459
157	0.8301638701	0.5036437843
158	0.8305697836	0.5026462974
159	0.8324417477	0.5006703177
160	0.8322192704	0.4995663244
161	0.8323328441	0.4984805253
162	0.8332726855	0.4963186293
163	0.8338803215	0.4946701376
164	0.83441339	0.4936953644
165	0.8361104821	0.4920358478
166	0.8362076665	0.4910644769
167	0.8372051426	0.4897117379
168	0.8380853761	0.4886734124
169	0.8385306858	0.4874371681
170	0.8382623452	0.4863097469
171	0.8392122169	0.4847221365
172	0.8396652292	0.4837523506
173	0.8404309707	0.4829778415
174	0.8411313052	0.4817294092
175	0.8418559308	0.4808132331
176	0.8420361637	0.4798065336
177	0.8434569542	0.4781038444
178	0.8425767657	0.4773405354
179	0.843390034	0.4760057869
180	0.8437853455	0.4745119074
181	0.8447202639	0.4731809516
182	0.8457656253	0.4720769447
183	0.8461755072	0.4710201799
184	0.8460626191	0.4699836721
185	0.8455891332	0.4690694408
186	0.8470994173	0.4676521766
187	0.84781316	0.4661381245
188	0.8493957386	0.4654334238
189	0.8488109268	0.4637913572
190	0.8504532277	0.4628066037
191	0.8510098675	0.4621650288
192	0.8501956559	0.4607149888
193	0.8513252145	0.4600669044
194	0.851912891	0.4587404461
195	0.8521608114	0.4576306621
196	0.8518674687	0.4570076885
197	0.8511444621	0.4558199318
198	0.8544298466	0.454653101
199	0.8544298466	0.4540037111
200	0.8538325223	0.4527409056
201	0.854453139	0.4520302221
202	0.8558339073	0.4509872794
203	0.8570765705	0.4497749986
204	0.8577770005	0.4492201181
205	0.8588972892	0.4478765645
206	0.8597272773	0.4471624069
207	0.8607441395	0.4460371532
208	0.8614262229	0.4447501482
209	0.8620826835	0.4437966485
210	0.8628465134	0.4424637084
211	0.8639301177	0.4412879495
212	0.8655563195	0.4402932039
213	0.8642761143	0.4393026451
214	0.8645661661	0.4380437592
215	0.8665456402	0.4370900781
216	0.8679427108	0.4357302224
217	0.8676076172	0.434460076
218	0.8677893056	0.4332772309
219	0.8682651697	0.4320232691
220	0.8687821169	0.4309802286
221	0.8701434957	0.4297101135
222	0.8711366703	0.4282266117
223	0.8720183568	0.4271110693
224	0.8723895942	0.4257656648
225	0.8722279107	0.4249269244
226	0.8734002748	0.4237766209
227	0.8747282958	0.4225038888
228	0.8760225048	0.4213141887
229	0.8755599375	0.4204342925
230	0.8752233177	0.4192514647
231	0.8772584288	0.4172464389
232	0.8784345619	0.4163342406
233	0.8795830463	0.4150477458
234	0.8786977933	0.4137314681
235	0.8792889079	0.4125367802
236	0.8793423708	0.4114668525
237	0.8807084498	0.4100998092
238	0.8810855349	0.408554744
239	0.8822889242	0.4074540242
240	0.8828877975	0.4059438197
241	0.8833627028	0.4046979729
242	0.8835389173	0.4037159139
243	0.8851413542	0.4024577627
244	0.8850687672	0.4016494384
245	0.8852521437	0.4006966139
246	0.8859722981	0.4000504597
247	0.8859812809	0.3989189648
248	0.8859812809	0.3978888249
249	0.8859722981	0.3968440529
250	0.8863036464	0.3958982586
251	0.887295947	0.3951114684
252	0.8874794534	0.3944471494
253	0.8874065219	0.3938823205
254	0.8883243365	0.3927523316
255	0.8888023226	0.3917715611
256	0.8883783053	0.3910536399
257	0.8883768861	0.3906732882
258	0.8885618919	0.3899113696
259	0.8898312722	0.3887154937
260	0.8898312722	0.3880732898
261	0.8912514542	0.3867614217
262	0.89172991	0.3856441327
263	0.8933498389	0.3845457003
264	0.8927024865	0.3836774683
265	0.8930048129	0.3825341821
266	0.8934093562	0.3813237078
267	0.8935125798	0.3802516479
268	0.8950141829	0.3794032885
269	0.8950141829	0.3783711108
270	0.895550633	0.3771795831
271	0.8957347388	0.3763148272
272	0.8957347388	0.3757841143
273	0.8967502256	0.3750129534
274	0.8971262471	0.3746294514
275	0.8971262471	0.3742477743
276	0.8972366982	0.3735644878
277	0.8980681364	0.372424177
278	0.8980603236	0.3712865653
279	0.8982445798	0.3703040893
280	0.8985744376	0.3692670612
281	0.8995405058	0.3687269454
282	0.8992379853	0.3681313463
283	0.8994299192	0.3674287296
284	0.8995324273	0.3667825027
285	0.9005259934	0.3659811052
286	0.9010402666	0.3652505052
287	0.9002663812	0.36433892
288	0.9010405936	0.3635402117
289	0.9012595655	0.3629225751
290	0.9012595655	0.3623329188
291	0.9014439488	0.3614866892
292	0.9019580581	0.3610777351
293	0.9026294473	0.3592447502
294	0.9029245233	0.3588780688
295	0.902080088	0.3578054249
296	0.9034039608	0.3572751014
297	0.9033895779	0.3565082356
298	0.9035346416	0.3559796287
299	0.9035070759	0.3547361967
300	0.9054933061	0.3538326052
301	0.905677853	0.3529187738
302	0.9054933061	0.3520866626
303	0.9058623899	0.3511980395
304	0.9068634687	0.3505865352
305	0.9069739536	0.349842533
306	0.9079262482	0.3487678837
307	0.9066241909	0.3479908152
308	0.9069931822	0.3472550242
309	0.9072883374	0.3469234518
310	0.9078227379	0.3462016415
311	0.9086717839	0.3456074693
312	0.9083961401	0.3447188708
